The Spectacular Now,Teenagers,Graduation,High School,Teenage love,Alcoholism,Quiet girl/popular boy,Romance,Senior year,Adolesence,Lovely,Naturalistic,Affecting,Charismatic teen boy protagonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Something New,Interracial,Romcom,Natural hair,Class distinctions,Gardener,Female director,Black female protagonist,Racism,Racial tension,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangled,Animated,Musical,Princess,Fairytale,Disney,Lavish,Captivity,Evil mother,Young woman protagonist,Journey home,Adventure,Rebellion,Self-discovery,Romance,Magic,Runaway,Rapunzel,Resourceful damsel in distress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Velvet,Seedy Underbelly,Creepy,Mystery,Small town,Moral decay,Macabre,Grotesque,Violence,Perversity,Cult classic,Kinky,Eccentric,Surreal,Classical antihero,Dream logic,Voyeurism,Sadomasochism,Raw,Dark humor,Seminal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ex Machina,Isolation,Eerie,Creepy,Misogyny,Tech mogul,AI,Futuristic,Scifi about science,Social commentary,Psychological thriller,Ominous,Intimate,Shut in,Huis clos,Femme fatale,Film noir,Spooky,Surprise ending,Female robot,Metropolis,Female revenge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheetah Girls 2,Disney Channel,High School,Teenage girls,Girl band,Musical,Spain,Barcelona,Travel,Singing competition,Female friendship,Foreign pop star,Sequel,Better than the original,Real estate envy,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
What's Your Number?,Romcom,Hot neighbor,Unlucky in Love,Revisiting exes,Grand gesture,Smutty chick flick,Screwball,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holes,Kids movie,Texas,Parallel storylines,Juvenile detention,Child labor,Evil adults,Friendship,Hot weather,Desert,Strange,Runaways,Survival,Kids movie,Magic Realism,Prison break,Corruption,Greed,Quality child acting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Last Five Years,Non linear timeline,Romance,Musical,End of a relationship,Writer,New York,Jewish,Ambition,Unhappy wife,Opposing narratives,Struggling actress,Based on a Broadway musical,Rise and fall of a relationship,Marital issues,Adultery,Struggling actress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inglorious Basterds,Semi-parody,WWII,Nazis,Revenge fantasy,Gore,Exploitation,American soldiers,Senseless violence,Explosions,Blood,War,Homage,Cinephilia,Saturated,Europe,Graphic,Elaborate revenge plot,Historical revisionism,Shootout,Multiple storylines,Violent climax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notting Hill,British,Romcom,Celebrity/normal guy,London,Paparazzi ,Dramatic declaration of love,Nebbishy protagonist,Glossy,Witty,Iconic,Richard Curtis,Bookstore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Bruges,Belgium,Old Europe,Irish,Mob,Hitman,Dark Comedy,Violence,Waiting,Bloody,Absurdism,Profanity,Twist,Far from home,Travel,Buddy comedy,Murder,Human,Bruges,Slow-burn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Crush,Hawaii,Surfing,Big competition,Teen Girls,Class distinctions,Female protagonist,Female friendship,Hotel,Sports,Girl power,Underrated,Female athlete,Female writer,Conquering fears,Rich guy/poor girl,Class disparity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wedding Date,Romcom,Fake relationship,Male escort,Wedding,London,Boy paid to date girl,Female director,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-Love,Teen Girl,Sports,Tennis,Recovering from injury,Romance,Competition,Coach,Unexpected pairing,Acting like normal person,Female athlete,Uptight woman/easy going guy,Learning to have fun,Training,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
About a Boy,Growing up,Single mother,Perpetual bachelor,Unexpected friendship,Child,London,British,Manchild,Child helps adult mature,Sweet,Seduction scheme,Fake family,Bullied child,Wise beyond years child,Playboy reformed,Man/boy child friendship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The First Time,High School,Teenagers,Romance,Indie,Virginity,One weekend,Sexual coming of age,Sweet,Low Key,Realistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hurt Locker,War,Desert,Iraq,Men,Soldiers,Realism,Danger,Female Director,Tension,Adrenaline,Action,Explosions,Exhilirating,Draining,Thought provoking,Hyperbolic realism,Baghdad,Human drama,Homoeroticism,Masculine love,Visceral,Spellbinding,Intensity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Celeste and Jesse Forver,Indie,Romcom,End of a relationship,Good-hearted,Anti-romcom,Intimate,Young marriage,LA,Bummer,Reluctantly optimistic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue is the Warmest Color,French,Lesbian,LGBTQ,Graphic sex,Romance,Bummer ending,Feverish,Generous,Exhausting,Long time span,Sexual coming of age,Female protagonist,Class distinctions,Sensory,Erotic,Immersive,Epic,First Love,Foreign,France,Lille,End of a relationship,Provocative,Slow,French language,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boogie Nights,Disco,Seventies,Sountrack,Porn Industry,Colorful,Long time span,Comedy,Violence,Show offy camera work,Period piece,Sleaze,Decadent,Backstage,Drugs,Filmmaking,End of an era,Visually stunning,Dimwitted hero,Rags to riches,Ensemble cast,Sprawling ,Flambuoyant,Contemporary American auteur,Popstar acting,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Bourne Supremacy,Sequel,Action,Thriller,CIA,Amnesia,Super spy,On the run,Choreographed fight scenes,European cities,Car chases,Paranoid,High speed,Assassin,Hunted,Travelogue,Glossy,Blockbuster,Big budget,Flashbacks,Mystery,Creative fighting,Manchurian candidate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Million Dollar Baby,Female Protagonist,Sports,Boxing,Devestating ending,Ugly cry,Coach,Emotionally powerful,Visually dark,Shadows,Trailer trash,Father figure,Mentor/mentee,Intimate,Naturalistic,Toughness,Tragedy,Fatalism,Underdog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Love Actually,Christmas,Hyperlink,Romcom,British,London,Prime Minister,Richard Curtis,Sentimental,Ensemble cast,Allstar cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Defiance,WWII,Holocaust,Forest,Wilderness,Survival,Belarus,Nazis,Jewish,Based on a true story,Violence,Brothers,Resistance,Settlement,Heroic,NOT subtle/primary colors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School Musical,High School,Musical,Teenagers,Disney Channel,Sports,Theater,Romance,Romeo and Juliet,Drama club,Iconic,Seminal,Big dance numbers,Pursuing a new interest,Teamwork,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bride and Prejudice,Musical,Female Director,India,Bollywood,Interracial ,Austen,Adaptation,Pride and Prejudice,Wedding,Fun,Family,Romantic comedy,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legally Blonde,Harvard,Boston,Female Protagonist,Law School,Trial,Pink,Fish out of water,Sorority,Following a man,Bubblegum feminism,Courtroom drama,Quotable,Perky blonde,Silly,Feelgood,Sunny,Wrong Right Guy,Shallow girl learns to be serious,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Best Friend's Wedding,Male/Female friendship,Sabotage,Female antihero,Wedding,Anti-romcom,Cruel meddling,Chicago,Unlikeable woman,Late 90's,Love triangle,Sports writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50 First Dates,Romcom,Hawaii,Amnesia,Diner ,Repetition,Unconventional romance,Sweet,Lighthearted,Reformed playboy,Marine mammals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amelie,Whimsical,Romance,French,Stylish,Visually distinctive,Colorful,Paris,Scavenger Hunt,Oddball,Visual detail,Woodland sprite,Dreamscape,Trippy,Meddling,Fantasy,Quaint,Optimistic,Bright,Acts of kindness,Stalking,Voyeurism,Comedy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads,Teenage Girls,Self-discovery,Female friendship,Abortion,Roadtrip,California,Singer,Popstar acting,Teenage pregnancy,Date rape,Music,LA,Discovery about mother,Female writer,Female director,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hamlet (Branagh),Shakespeare,Dead father,Evil uncle,Madness,Royalty,Prince,Denmark,Adaptation,Allstar cast,Politics,Oedipal,Visual Showmanship,Conspiracy,Ghost,Ghost of father,Suicide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nightcrawler,Murder,Crime,Broadcast news,Sociopath,Creepy,Dark,Thriller,Loner,Visually dark,Neonoir,Disturbing,Moral decay,Career progress,Violent,Bloody,Gloomy,Voyeurism,Amorality,Sleaze,Morbid,LA,Urban thriller,Queasy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hot Girls Wanted,Documentary,Porn Industry,Florida,Young women,Runaways,Slice of life,Observational,Mostly female cast,Female directors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Best of Me,Romance,The South,Nicolas Sparks,Bad cousins,Car accident,Old flame returns,Ex husband,Highschool sweethearts,Tearjerker,Inheritance,Flashbacks,Class distinctions,White trash,Treacle,Weepathon,Older mentor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackfish,Documentary,Animal activism,Marine mammals,Sea life,Expose,Seaworld,Florida,Orcas,Affecting,Lacerating,Female director,Message,Corporate conspiracy,Violent animals,Graphic,Powerful,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Switch,Sperm Donor,Single mother,Best friends,Romcom,Male/female friendship,Paternity mishap,Man/boy child friendship,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinatown,Noir,Pastiche,Detective,Femme fatale,Vulnerable blonde,Imposter,Twist,Infidelity,Private eye,Genre film,Family closet skeletons,Web of mystery,Raymond Chandler-esque,Los Angeles,Dreamy,Disturbing,Dense,Offbeat,Disquieting,Crime,Thriller,Troubling ending,Conspiracy,Neo-noir,Homage,Corruption,Moral decay,Visually striking,Jolting,Desert wasteland,Nihilism,Sexual violence against women,Macabre,Futility,Important Director,,,,,,,,,,,,,,,,,
She's All That,High School,Nerdy girl/popular boy,Makeover,Teenagers,Romcom,Bet,Pygmalion,Los Angeles,MTV,Prom,Class distinctions,Fresh,Classic literature adaptation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starstruck,Romcom,Celebrity/normal person,LA,Antagonistic romance,Singer,Original Music,Disney Channel,Teenagers,Parents MIA,Family trip,Travel,Unlikely pairing,Stand-offish female,Sisters,Popstar,Made for TV,Female writer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crash,LA,Social issues,Hyperlink,Racism,Emotionally manipulative,Connectedness,Coincidence,Allegorical,Blunt ,Earnest,Dramatic,Moral agenda,Diverse cast,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Life Partners,Female friendship,Low key,Growing up,Late 20's,New boyfriend,Small,Millenials,Lesbian,New boy getting between friends,Lived-in,Co-dependence,Female director,Mostly female cast,Female screenwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Election,Satire,High School,Teacher/student relationship,Behaving badly,Democracy,Revenge,Unlikable female protagonist,Acerbic,Politics,Campaign,Malevolent humor,Nice guy goes bad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Beauty,Teenage Girl,Older man/underaged woman,Man in Midlife crisis,Suburbs,Moral Decay,Dark comedy,Satire,Dead narrator,Eroticized,Haunting,Bland white people,Family drama,Adultery,Piercing,Loser protagonist,Sadness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Graduate,California,Older woman/younger man,Adultery,Bad behavior,Suburbs,Post-college,Boredom,Impulsive behavior,Soundtrack,Regret,Funny,Outrageous,Comedy,Subversive,Upper Middle class,Seduction,Runaway bride,Coming of age,Bourgeois ennui,Lyrical,1960's,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Other End of the Line,Romcom,Interracial,Culture clash,Travel,LA,India,Following a man,Call center,Misunderstandings,Far from home,Smart,Sweet,Female screenwriter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Good Will Hunting,Boston,Harvard,Math Genius,Therapy,Romance,Class distinctions,Bromance,Childhood friends,Southie,Smart,Touching,Warm-hearted,MIT,Blue Collar,Mostly male cast,College,Court-ordered counseling,Delinquence,Growing up,Getting out,Upward mobility,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apocalypse Now,Adaptation,War,Vietnam,Jungle,Soldiers,Helicopters,Boat trip,Violent,Dark,Madness,Haunting,Green,River trip,Surreal,Epic,Glory,Horror,Grandiose,Heart of Darkness,Joseph Conrad,Meditation on war,River journey,Spellbinding,Odyssey,Extraordinary camerwork,Assassination mission,Cult leader,Madness,Haunting ending,Poetic,Fanaticism,Soundtrack,Dark places of the soul,Movie brats,Important Director,,,,,,,,,,,,,,,,,
Zoolander,Parody,Fashion,Models,Comedy,Big Budget,Conspiracy,Idiot protagonist,Assassination plot,Stupidity humor,Laugh out loud,Blockbuster comedy,Allstar cast,Mostly male,Manchurian Candidate,Brainwashing,Narcissists,Energetic,Lighthearted,Fluffy,Gags,Unwitting conspirator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiny Furniture,Indie,Post-college,Arrested Development,Failed relationships,Female Protagonist,Female Director,Frank sex scenes,Understated,Realistic,Small,Frank,Tribeca,Artists,Listless,Slice of life,Naturalistic,Female writer,Female friendship,Reconnecting with childhood friend,Female gaze,Anti-aesthetic,Post-college confusion,Limbo,Complex female,Lived-in,Passive aggressive,Selfishness,Discontent,,,,,,,,,,,,,,,,,,,,,,,,
"Good Morning, Vietnam",Vietnam,War,Comedy,Radio,Stand-up comedy,Denial,Cynicism,Anti-establishment,An education,Asshole to nice guy,Humanist/humanitarian,Saigon,Subtly moving,Uproarious,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wolf of Wall Street,Excess,Misogyny,Mostly male cast,Drugs,Behaving badly,Amorality,Excessive wealth,Wall Street,Finance,1980's,Bacchanal,Rich guys,Shameless,Disgusting,Exhausting,Entertaining,Loathsome men,Sleaze,Robin Hood-in reverse,Upward mobility,Alpha male posturing,Toxic masculinity,Swagger,Moral discomfort,Grotesque,Mob flick,Antihero,Addiction,Adrenaline,Capitalism,Chaotic,Rise and fall ,Hubris,Visual delights,Brutal comedy,Rhythmic,Stylish,Stock Market,Important Director,Finance bros,,,,,,,,,,,,
Rain Man,Autism,Brothers,Idiot-Savant,Roadtrip,Asshole redeemed,Family skeletons,Discovery about father,Inheritance,Vegas,Unlikely pairing,Sometimes funny,Decent,Modest,Reluctant hero,Kidnapping,Slick,Handsome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mission: Impossible,Spies,Action ,Thriller,Set pieces,Team,Stylish,Big budget,Europe,European Capitals,Chase scenes,Sleek,Chilly,Exhilirating,Live-action cartoon,Getting a team together,Cold war nostalgia,Post-communist,Homage,Twists,Delirious rush,Sensational,Double agents,Gadgetry,Spycraft,Stunts,Fun,Subversive/radical,On the run,Clearing one's name,Elegant,Sophisticated,Auteur does blockbuster,,,,,,,,,,,,,,,,,,,,
Jerry Maguire,Sports,Football,Sports agent,Midlife Crisis,Romcom,Single Mother,Quitting your job,Manifesto,Open-hearted,Warm,Grand gestures,Intimate,Bright,Funny,Tender,Modest,Asshole to nice guy,Fast-talking,Hilarity,Crisis of conscience,Delightful,Transformation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Captain Fantastic,Big family,Death of Parent,Eccentric,Wilderness,Pacific Northwest,Roadtrip,Disapproving in-laws,Comedy-drama,Unconventional lifestyle,Forest,Grief,Rich grandparents,Freewheeling,Single father,Intense male protagonist,Idealism,Rigidity,Thoreau,Fanaticism,Cultishness,Questionable parenting,Gifted kids,Swiss Family Robinson,Charismatic controlling father,Culture clash,Isolation,Discovering the real world,Moral ambiguity,Living off the grid,,,,,,,,,,,,,,,,,,,,,,,
Baby Driver,Rhythym,Criminals,Young Man,Sountrack,Stylish,Choreography,Sound,Fun,Classical/old fashioned,Chase scenes,Getaway driver,Robbery,Music,Musical,Going straight,Waitress,Orphan,Old Hollywood,High-concept,Allstar cast,Ensemble cast,Magic,Energy,Cool,Smooth,Genre re-think,Motion,Syncopated,Hearing,Action,Pop pastiche,Cinephilia,Enjoyable,Cinematic craft,Colorful,Snappy editing,Pleasure,,,,,,,,,,,,,,,
Bridget Jones's Diary,Single Woman,30's,Romcom,British,Love Triangle,Austen,Female Protagonist,Christmas,Pride and Prejudice,Funny,Charming,Romantic desperation,Female director,Female writer,London,Witty,Dating,Normal woman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Edge of Seventeen,High School,Teenage girl,Female Protagonist,Female friendship,Awkward,Hot older brother,Dead Parent,Messed up teen,Adolescent angst,Female writer,Female director,Unpopular teen,Smart,Bittersweet,Teen anguish,Teen rage,Complex female,Bad decisions,Single mother,Family,Friendship rift,Boy gets between friends,Teacher mentor,Raw honesty,Upper middle class,Suburbs,Wholesome,Insightful,Insecurity,Cringe humor,Grief,Realistic,Poignant,,,,,,,,,,,,,,,,,,,
Field of Dreams,Baseball,Fantasy,Ghosts,Midwest,Iowa,Farm,Dead father,Closure,Journey of self-discovery,Supportive wife,Hearing voices,Rural,Capra-esque,Dreams,Poetic vision,Innocence,Delicate,Magic realism,Sentimental,Idealistic,Fable,Warm,Intelligent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Hitchhiker's Guide to the Galaxy,Sci-fi Parody,Outerspace,British,Fish out of water,Roadtrip,End of the world,Oddball,Charming,Wacky,Buddy film,Aliens,Spaceships,Zany,Comedy,Genuinely funny,Mellow,Comic fatalism,Loopy,Quirky,Twee,Classical antihero,Loser protagonist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Home Again,Older woman/younger man,Brothers,LA,Hollywood,Filmmaking,Single mother,Real Estate envy,Unlikely friendship,Ex husband,Divorce,Upper middle class,Nancy Meyers-esque,Female writer,Female director,Lifestyle porn,Formulaic,Airy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
